EMP_ID, COMPANY, MONTH, DAY, HOURS_WORKED, WAGE_PER_HOUR, DAILY_WAGE, WORK_DAYS
1, infin, Jan, 1, 0, 50, 0, 15
1, infin, Jan, 2, 4, 50, 200, 15
1, infin, Jan, 3, 4, 50, 200, 15
1, infin, Jan, 4, 0, 50, 0, 15
1, infin, Jan, 5, 0, 50, 0, 15
1, infin, Jan, 6, 0, 50, 0, 15
1, infin, Jan, 7, 4, 50, 200, 15
1, infin, Jan, 8, 0, 50, 0, 15
1, infin, Jan, 9, 8, 50, 400, 15
1, infin, Jan, 10, 0, 50, 0, 15
1, infin, Jan, 11, 8, 50, 400, 15
1, infin, Jan, 12, 0, 50, 0, 15
1, infin, Jan, 13, 0, 50, 0, 15
1, infin, Jan, 14, 0, 50, 0, 15
1, infin, Jan, 15, 0, 50, 0, 15
2, infin, Jan, 1, 0, 50, 0, 15
2, infin, Jan, 2, 4, 50, 200, 15
2, infin, Jan, 3, 4, 50, 200, 15
2, infin, Jan, 4, 0, 50, 0, 15
2, infin, Jan, 5, 0, 50, 0, 15
2, infin, Jan, 6, 0, 50, 0, 15
2, infin, Jan, 7, 4, 50, 200, 15
2, infin, Jan, 8, 0, 50, 0, 15
2, infin, Jan, 9, 8, 50, 400, 15
2, infin, Jan, 10, 0, 50, 0, 15
2, infin, Jan, 11, 8, 50, 400, 15
2, infin, Jan, 12, 0, 50, 0, 15
2, infin, Jan, 13, 0, 50, 0, 15
2, infin, Jan, 14, 0, 50, 0, 15
2, infin, Jan, 15, 0, 50, 0, 15
1, infin, Feb, 1, 0, 50, 0, 15
1, infin, Feb, 2, 0, 50, 0, 15
1, infin, Feb, 3, 8, 50, 400, 15
1, infin, Feb, 4, 8, 50, 400, 15
1, infin, Feb, 5, 8, 50, 400, 15
1, infin, Feb, 6, 0, 50, 0, 15
1, infin, Feb, 7, 0, 50, 0, 15
1, infin, Feb, 8, 0, 50, 0, 15
1, infin, Feb, 9, 8, 50, 400, 15
1, infin, Feb, 10, 0, 50, 0, 15
1, infin, Feb, 11, 0, 50, 0, 15
1, infin, Feb, 12, 4, 50, 200, 15
1, infin, Feb, 13, 8, 50, 400, 15
1, infin, Feb, 14, 0, 50, 0, 15
1, infin, Feb, 15, 0, 50, 0, 15
2, infin, Feb, 1, 0, 50, 0, 15
2, infin, Feb, 2, 0, 50, 0, 15
2, infin, Feb, 3, 8, 50, 400, 15
2, infin, Feb, 4, 8, 50, 400, 15
2, infin, Feb, 5, 8, 50, 400, 15
2, infin, Feb, 6, 0, 50, 0, 15
2, infin, Feb, 7, 0, 50, 0, 15
2, infin, Feb, 8, 0, 50, 0, 15
2, infin, Feb, 9, 8, 50, 400, 15
2, infin, Feb, 10, 0, 50, 0, 15
2, infin, Feb, 11, 0, 50, 0, 15
2, infin, Feb, 12, 4, 50, 200, 15
2, infin, Feb, 13, 8, 50, 400, 15
2, infin, Feb, 14, 0, 50, 0, 15
2, infin, Feb, 15, 0, 50, 0, 15
1, infin, Mar, 1, 4, 50, 200, 15
